25.7631 	WARNING 	Monitor specification not found. Creating a temporary one...
25.7704 	WARNING 	User requested fullscreen with size [1920], but screen is actually [1920, 1080]. Using actual size
26.9070 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x18C373F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
28.7308 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Press the Spacebar to Continue', units='height', win=Window(...), wrapWidth=1)
28.7362 	EXP 	Created unnamed Line = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=4, name='unnamed Line', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
28.7367 	EXP 	Created unnamed Line = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=4, name='unnamed Line', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
28.7374 	EXP 	Created unnamed ShapeStim = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='black', fillColorSpace='named', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=3, name='unnamed ShapeStim', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
28.7381 	EXP 	Created unnamed ShapeStim = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='black', fillColorSpace='named', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=3, name='unnamed ShapeStim', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
29.0368 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.77777778,  1.        ]), texRes=128, units='height', win=Window(...))
29.1306 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.77777778,  1.        ]), texRes=128, units='height', win=Window(...))
29.2127 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.77777778,  1.        ]), texRes=128, units='height', win=Window(...))
